date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:39	46039/46039	---M--	200	added ('OK')	image/png	etag:%22b99baee59858233c9c96650b85a837a1%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_828x1792.b99baee59858233c9c96650b85a837a1.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_828x1792.b99baee59858233c9c96650b85a837a1.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:39	72004/72004	---M--	200	added ('OK')	image/png	etag:%2245aaf8f75c311170c80a8371bce20b86%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1125x2436.45aaf8f75c311170c80a8371bce20b86.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1125x2436.45aaf8f75c311170c80a8371bce20b86.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:40	63014/63014	---M--	200	added ('OK')	image/png	etag:%22f5dea1724656a489b28cf2b7369c6e89%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1242x2208.f5dea1724656a489b28cf2b7369c6e89.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1242x2208.f5dea1724656a489b28cf2b7369c6e89.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:41	87144/87144	---M--	200	added ('OK')	image/png	etag:%223f0f9d4dcc66b0ef22fabd190b7b9347%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1242x2688.3f0f9d4dcc66b0ef22fabd190b7b9347.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1242x2688.3f0f9d4dcc66b0ef22fabd190b7b9347.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:43	79708/79708	---M--	200	added ('OK')	image/png	etag:%22b1d301020489bed1fa6429238f52eb32%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1170x2532.b1d301020489bed1fa6429238f52eb32.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1170x2532.b1d301020489bed1fa6429238f52eb32.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:43	94674/94674	---M--	200	added ('OK')	image/png	etag:%228326886f1662ccbc99a3f6e25a545af8%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1284x2778.8326886f1662ccbc99a3f6e25a545af8.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1284x2778.8326886f1662ccbc99a3f6e25a545af8.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:43	70825/70825	---M--	200	added ('OK')	image/png	etag:%227f2707911dd441d0bc423e07da537b8c%22	https://deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1080x2340.7f2707911dd441d0bc423e07da537b8c.png	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/shopee-mobilemall-live-sg/assets/ios_splash_screen_1080x2340.7f2707911dd441d0bc423e07da537b8c.png	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:45	18/18	---M--	404	error ('Not%20Found')	text/javascript	date:Mon,%2024%20Nov%202025%2019:27:49%20GMT	https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__cart-panel-context/1.5.0.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__cart-panel-context/1.5.0.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:45	16333/16333	---M-Z	200	added ('OK')	text/javascript	etag:%221a80ae1b2a3d4e97697f72eb6caeee54%22	https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee_common__currency/4.5.1.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/modules-federation/live/0/shopee_common__currency/4.5.1.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
16:27:45	2922/2922	---M-Z	200	added ('OK')	text/javascript	etag:%221147af267e6836ede8a52e0af8935a5a%22	https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__language/3.5.0.legacy.js	C:/Users/Omar/Downloads/Shopee/deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__language/3.5.0.legacy.js	(from https://shopee.com.br/Ar-condicionado-Split-Samsung-Inverter-WindFree-AI-18.000-BTUs-Quente-e-Frio-AR60F18C1AWNAZ-Branco-i.1537142489.22799030619?extraParams=%7B%22display_model_id%22%3A169721378351%2C%22model_selection_logic%22%3A3%7D&sp_atk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207&xptdk=3b2fb68e-005e-4195-9aac-ce6ac6dd7207)
